sample_id,extractor_name,version,file,line,symbol,extracted_fact,raw_context,reviewer1_label,reviewer2_label,adjudicated_label,error_category,notes
c_functions-014,c_functions,v6.16,.binddrift/worktrees/v6.16/include/linux/pci.h,1430,pci_store_saved_state,"{""c_symbol"": ""pci_store_saved_state"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.16/include/linux/pci.h"", ""line"": 1430, ""params"": ""[\""struct pci_dev *dev\""]"", ""return_type"": ""struct pci_saved_state *"", ""version_id"": ""v6.16""}","[""struct pci_dev *dev""]",,,,,
c_functions-015,c_functions,v6.18,.binddrift/worktrees/v6.18/include/linux/acpi.h,1218,acpi_ec_set_gpe_wake_mask,"{""c_symbol"": ""acpi_ec_set_gpe_wake_mask"", ""definition_file"": "".binddrift/worktrees/v6.18/include/linux/acpi.h"", ""header_file"": "".binddrift/worktrees/v6.18/include/linux/acpi.h"", ""line"": 1218, ""params"": ""[\""u8 action\""]"", ""return_type"": ""static inline void"", ""version_id"": ""v6.18""}","[""u8 action""]",,,,,
c_functions-016,c_functions,v6.11,.binddrift/worktrees/v6.11/include/linux/blkdev.h,1612,sync_blockdev,"{""c_symbol"": ""sync_blockdev"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.11/include/linux/blkdev.h"", ""line"": 1612, ""params"": ""[\""struct block_device *bdev\""]"", ""return_type"": ""int"", ""version_id"": ""v6.11""}","[""struct block_device *bdev""]",,,,,
c_functions-017,c_functions,v6.13,.binddrift/worktrees/v6.13/include/linux/fs.h,2926,notify_change,"{""c_symbol"": ""notify_change"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.13/include/linux/fs.h"", ""line"": 2926, ""params"": ""[\""struct mnt_idmap *\"", \""struct dentry *\"", \""struct iattr *\"", \""struct inode **\""]"", ""return_type"": ""int"", ""version_id"": ""v6.13""}","[""struct mnt_idmap *"", ""struct dentry *"", ""struct iattr *"", ""struct inode **""]",,,,,
c_functions-018,c_functions,v6.19,.binddrift/worktrees/v6.19/include/linux/blkdev.h,835,bdev_nr_sectors,"{""c_symbol"": ""bdev_nr_sectors"", ""definition_file"": "".binddrift/worktrees/v6.19/include/linux/blkdev.h"", ""header_file"": "".binddrift/worktrees/v6.19/include/linux/blkdev.h"", ""line"": 835, ""params"": ""[\""struct block_device *bdev\""]"", ""return_type"": ""static inline sector_t"", ""version_id"": ""v6.19""}","[""struct block_device *bdev""]",,,,,
c_functions-019,c_functions,v7.0,.binddrift/worktrees/v7.0/include/linux/usb.h,839,usb_autopm_put_interface_async,"{""c_symbol"": ""usb_autopm_put_interface_async"", ""definition_file"": "".binddrift/worktrees/v7.0/include/linux/usb.h"", ""header_file"": "".binddrift/worktrees/v7.0/include/linux/usb.h"", ""line"": 839, ""params"": ""[\""struct usb_interface *intf\""]"", ""return_type"": ""static inline void"", ""version_id"": ""v7.0""}","[""struct usb_interface *intf""]",,,,,
c_functions-020,c_functions,v6.19,.binddrift/worktrees/v6.19/include/linux/security.h,753,security_fs_context_dup,"{""c_symbol"": ""security_fs_context_dup"", ""definition_file"": "".binddrift/worktrees/v6.19/include/linux/security.h"", ""header_file"": "".binddrift/worktrees/v6.19/include/linux/security.h"", ""line"": 753, ""params"": ""[\""struct fs_context *fc\"", \""struct fs_context *src_fc\""]"", ""return_type"": ""static inline int"", ""version_id"": ""v6.19""}","[""struct fs_context *fc"", ""struct fs_context *src_fc""]",,,,,
c_functions-021,c_functions,v6.19,.binddrift/worktrees/v6.19/include/linux/blkdev.h,1773,bd_abort_claiming,"{""c_symbol"": ""bd_abort_claiming"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.19/include/linux/blkdev.h"", ""line"": 1773, ""params"": ""[\""struct block_device *bdev\"", \""void *holder\""]"", ""return_type"": ""void"", ""version_id"": ""v6.19""}","[""struct block_device *bdev"", ""void *holder""]",,,,,
c_functions-022,c_functions,v6.15,.binddrift/worktrees/v6.15/include/linux/pci.h,2172,pci_resource_to_user,"{""c_symbol"": ""pci_resource_to_user"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.15/include/linux/pci.h"", ""line"": 2172, ""params"": ""[\""const struct pci_dev *dev\"", \""int bar\"", \""const struct resource *rsrc\"", \""resource_size_t *start\"", \""resource_size_t *end\""]"", ""return_type"": ""void"", ""version_id"": ""v6.15""}","[""const struct pci_dev *dev"", ""int bar"", ""const struct resource *rsrc"", ""resource_size_t *start"", ""resource_size_t *end""]",,,,,
c_functions-023,c_functions,v7.0,.binddrift/worktrees/v7.0/include/linux/dma-mapping.h,602,dma_coherent_ok,"{""c_symbol"": ""dma_coherent_ok"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v7.0/include/linux/dma-mapping.h"", ""line"": 602, ""params"": ""[\""struct device *dev\"", \""phys_addr_t phys\"", \""size_t size\""]"", ""return_type"": ""bool"", ""version_id"": ""v7.0""}","[""struct device *dev"", ""phys_addr_t phys"", ""size_t size""]",,,,,
