warning_id,type,risk,score,symbol,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes,label,reviewer_notes
W-000283,SignatureDrift,High,14.6,cs,,,,,,,,
W-000624,SignatureDrift,High,14.2,ss,,,,,,,,
W-000612,SignatureDrift,High,13.2,sl,,,,,,,,
W-000648,SignatureDrift,High,12.8,text_poke,,,,,,,,
W-000704,FieldDrift,High,12.6,bio,,,,,,,,
W-000708,FieldDrift,High,12.6,bpf_prog,,,,,,,,
W-000709,FieldDrift,High,12.6,cgroup,,,,,,,,
W-000716,FieldDrift,High,12.6,inode,,,,,,,,
W-000719,FieldDrift,High,12.6,module,,,,,,,,
W-000724,FieldDrift,High,12.6,phy_device,,,,,,,,
W-000725,FieldDrift,High,12.6,phy_driver,,,,,,,,
W-000738,FieldDrift,High,12.4,taskstats,,,,,,,,
W-000727,FieldDrift,High,12.2,pid,,,,,,,,
W-000485,SignatureDrift,High,12.0,nmi,,,,,,,,
W-000718,FieldDrift,High,12.0,kernfs_node,,,,,,,,
W-000059,SignatureDrift,High,11.6,arch_cpu_idle,,,,,,,,
W-000160,SignatureDrift,High,11.6,btf_get,,,,,,,,
W-000566,SignatureDrift,High,11.6,seq_hlist_start,,,,,,,,
W-000206,SignatureDrift,High,11.4,cgroup_free,,,,,,,,
W-000573,SignatureDrift,High,11.4,seq_list_start,,,,,,,,
W-000732,FieldDrift,High,11.4,sk_buff,,,,,,,,
W-000125,SignatureDrift,High,11.2,bpf_prog_array_copy,,,,,,,,
W-000207,SignatureDrift,High,11.2,cgroup_freeze,,,,,,,,
W-000223,SignatureDrift,High,11.2,cgroup_rstat_flush,,,,,,,,
W-000405,SignatureDrift,High,11.2,kallsyms_lookup,,,,,,,,
W-000420,SignatureDrift,High,11.2,kstrdup_quotable,,,,,,,,
W-000563,SignatureDrift,High,11.2,seq_hlist_next,,,,,,,,
W-000619,SignatureDrift,High,11.2,sprint_symbol,,,,,,,,
W-000644,SignatureDrift,High,11.2,tasklet_unlock,,,,,,,,
W-000003,SignatureDrift,High,11.0,__bpf_dynptr_data,,,,,,,,
W-000012,SignatureDrift,High,11.0,__cgroup_account_cputime,,,,,,,,
W-000014,SignatureDrift,High,11.0,__cpuhp_remove_state,,,,,,,,
W-000016,SignatureDrift,High,11.0,__cpuhp_setup_state,,,,,,,,
W-000018,SignatureDrift,High,11.0,__cpuhp_state_add_instance,,,,,,,,
W-000023,SignatureDrift,High,11.0,__fprop_add_percpu,,,,,,,,
W-000030,SignatureDrift,High,11.0,__register_one_node,,,,,,,,
W-000088,SignatureDrift,High,11.0,balance_dirty_pages_ratelimited,,,,,,,,
W-000128,SignatureDrift,High,11.0,bpf_prog_array_delete_safe,,,,,,,,
W-000130,SignatureDrift,High,11.0,bpf_prog_array_free,,,,,,,,
W-000180,SignatureDrift,High,11.0,btf_type_seq_show,,,,,,,,
W-000213,SignatureDrift,High,11.0,cgroup_init,,,,,,,,
W-000240,SignatureDrift,High,11.0,cpu_add_dev_attr,,,,,,,,
W-000254,SignatureDrift,High,11.0,cpu_remove_dev_attr,,,,,,,,
W-000308,SignatureDrift,High,11.0,disable_irq,,,,,,,,
W-000334,SignatureDrift,High,11.0,extra,,,,,,,,
W-000394,SignatureDrift,High,11.0,irq_set_affinity,,,,,,,,
W-000424,SignatureDrift,High,11.0,kthread_bind,,,,,,,,
W-000432,SignatureDrift,High,11.0,kthread_create_worker,,,,,,,,
W-000438,SignatureDrift,High,11.0,kthread_flush_work,,,,,,,,
W-000444,SignatureDrift,High,11.0,kthread_park,,,,,,,,
W-000451,SignatureDrift,High,11.0,kthread_should_stop,,,,,,,,
W-000453,SignatureDrift,High,11.0,kthread_stop,,,,,,,,
W-000492,SignatureDrift,High,11.0,nr_context_switches,,,,,,,,
W-000496,SignatureDrift,High,11.0,offset,,,,,,,,
W-000524,SignatureDrift,High,11.0,raise_softirq,,,,,,,,
W-000531,SignatureDrift,High,11.0,register_cpu,,,,,,,,
W-000567,SignatureDrift,High,11.0,seq_hlist_start_head,,,,,,,,
W-000571,SignatureDrift,High,11.0,seq_list_next,,,,,,,,
W-000574,SignatureDrift,High,11.0,seq_list_start_head,,,,,,,,
W-000578,SignatureDrift,High,11.0,seq_open,,,,,,,,
W-000581,SignatureDrift,High,11.0,seq_path,,,,,,,,
W-000585,SignatureDrift,High,11.0,seq_put_decimal_ull,,,,,,,,
W-000590,SignatureDrift,High,11.0,seq_read,,,,,,,,
W-000592,SignatureDrift,High,11.0,seq_release,,,,,,,,
W-000603,SignatureDrift,High,11.0,single_open,,,,,,,,
W-000617,SignatureDrift,High,11.0,sprint_backtrace,,,,,,,,
W-000629,SignatureDrift,High,11.0,sti,,,,,,,,
W-000650,SignatureDrift,High,11.0,text_poke_copy,,,,,,,,
W-000674,SignatureDrift,High,11.0,unregister_cpu,,,,,,,,
W-000685,SignatureDrift,High,11.0,wakeup_flusher_threads,,,,,,,,
W-000696,SignatureDrift,High,11.0,writeback_inodes_sb,,,,,,,,
W-000002,SignatureDrift,High,10.8,__bitmap_weight_andnot,,,,,,,,
W-000004,SignatureDrift,High,10.8,__bpf_dynptr_data_rw,,,,,,,,
W-000005,SignatureDrift,High,10.8,__bpf_dynptr_size,,,,,,,,
W-000006,SignatureDrift,High,10.8,__bpf_free_used_btfs,,,,,,,,
W-000007,SignatureDrift,High,10.8,__bpf_free_used_maps,,,,,,,,
W-000008,SignatureDrift,High,10.8,__bpf_prog_enter_sleepable_recur,,,,,,,,
W-000009,SignatureDrift,High,10.8,__bpf_prog_exit_sleepable_recur,,,,,,,,
W-000010,SignatureDrift,High,10.8,__bpf_tramp_enter,,,,,,,,
W-000011,SignatureDrift,High,10.8,__bpf_tramp_exit,,,,,,,,
W-000013,SignatureDrift,High,10.8,__cgroup_account_cputime_field,,,,,,,,
W-000015,SignatureDrift,High,10.8,__cpuhp_remove_state_cpuslocked,,,,,,,,
W-000017,SignatureDrift,High,10.8,__cpuhp_setup_state_cpuslocked,,,,,,,,
W-000019,SignatureDrift,High,10.8,__cpuhp_state_add_instance_cpuslocked,,,,,,,,
W-000020,SignatureDrift,High,10.8,__cpuhp_state_remove_instance,,,,,,,,
W-000021,SignatureDrift,High,10.8,__do_softirq,,,,,,,,
W-000022,SignatureDrift,High,10.8,__folio_batch_release,,,,,,,,
W-000024,SignatureDrift,High,10.8,__fprop_add_percpu_max,,,,,,,,
W-000025,SignatureDrift,High,10.8,__handle_irq,,,,,,,,
W-000026,SignatureDrift,High,10.8,__irq_apply_affinity_hint,,,,,,,,
W-000027,SignatureDrift,High,10.8,__kthread_init_worker,,,,,,,,
