warning_id,type,risk,score,symbol,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes,label,reviewer_notes
W-001797,SignatureDrift,High,13.8,vm_mmap,,,,,,,,
W-000660,SignatureDrift,High,13.4,genphy_read_abilities,,,,,,,,
W-001823,SignatureDrift,High,13.2,vmalloc,,,,,,,,
W-000798,SignatureDrift,High,13.0,kernel_read_file,,,,,,,,
W-001596,SignatureDrift,High,12.8,skb_copy,,,,,,,,
W-001904,FieldDrift,High,12.6,device,,,,,,,,
W-001905,FieldDrift,High,12.6,iov_iter,,,,,,,,
W-000746,SignatureDrift,High,12.4,ioremap,,,,,,,,
W-000530,SignatureDrift,High,12.2,early_memremap,,,,,,,,
W-000664,SignatureDrift,High,12.2,genphy_read_status,,,,,,,,
W-000661,SignatureDrift,High,12.0,genphy_read_lpa,,,,,,,,
W-000667,SignatureDrift,High,12.0,genphy_resume,,,,,,,,
W-000669,SignatureDrift,High,12.0,genphy_soft_reset,,,,,,,,
W-000670,SignatureDrift,High,12.0,genphy_suspend,,,,,,,,
W-000671,SignatureDrift,High,12.0,genphy_update_link,,,,,,,,
W-000145,SignatureDrift,High,11.8,__vmalloc,,,,,,,,
W-000160,SignatureDrift,High,11.8,_phy_start_aneg,,,,,,,,
W-000398,SignatureDrift,High,11.8,devm_ioremap,,,,,,,,
W-000738,SignatureDrift,High,11.8,ioread64,,,,,,,,
W-000762,SignatureDrift,High,11.8,iowrite64,,,,,,,,
W-000923,SignatureDrift,High,11.8,mdiobus_write,,,,,,,,
W-000934,SignatureDrift,High,11.8,memremap,,,,,,,,
W-001119,SignatureDrift,High,11.8,phy_init_hw,,,,,,,,
W-001125,SignatureDrift,High,11.8,phy_modify,,,,,,,,
W-001139,SignatureDrift,High,11.8,phy_read_paged,,,,,,,,
W-001929,FieldDrift,High,11.8,vm_fault,,,,,,,,
W-000201,SignatureDrift,High,11.6,autoneg,,,,,,,,
W-000497,SignatureDrift,High,11.6,dpm_resume,,,,,,,,
W-000502,SignatureDrift,High,11.6,dpm_suspend,,,,,,,,
W-000687,SignatureDrift,High,11.6,get_user_pages,,,,,,,,
W-000916,SignatureDrift,High,11.6,mdiobus_read,,,,,,,,
W-001069,SignatureDrift,High,11.6,phy_attach,,,,,,,,
W-001093,SignatureDrift,High,11.6,phy_drivers_unregister,,,,,,,,
W-001146,SignatureDrift,High,11.6,phy_resolve_aneg_linkmode,,,,,,,,
W-001165,SignatureDrift,High,11.6,phy_start,,,,,,,,
W-001708,SignatureDrift,High,11.6,stack_trace_save,,,,,,,,
W-000333,SignatureDrift,High,11.4,device_create,,,,,,,,
W-000525,SignatureDrift,High,11.4,early_ioremap,,,,,,,,
W-000578,SignatureDrift,High,11.4,find_vma,,,,,,,,
W-000840,SignatureDrift,High,11.4,led_set_brightness,,,,,,,,
W-000856,SignatureDrift,High,11.4,link,,,,,,,,
W-001055,SignatureDrift,High,11.4,pci_iomap,,,,,,,,
W-001092,SignatureDrift,High,11.4,phy_drivers_register,,,,,,,,
W-001188,SignatureDrift,High,11.4,pin_user_pages,,,,,,,,
W-001587,SignatureDrift,High,11.4,skb_checksum,,,,,,,,
W-001755,SignatureDrift,High,11.4,unpin_user_page,,,,,,,,
W-001842,SignatureDrift,High,11.4,vmemmap_populate,,,,,,,,
W-001852,SignatureDrift,High,11.4,vmf_insert_pfn,,,,,,,,
W-001924,FieldDrift,High,11.4,sk_buff,,,,,,,,
W-000027,SignatureDrift,High,11.2,__fdget,,,,,,,,
W-000079,SignatureDrift,High,11.2,__phy_modify,,,,,,,,
W-000116,SignatureDrift,High,11.2,__skb_checksum,,,,,,,,
W-000194,SignatureDrift,High,11.2,arch_stack_walk,,,,,,,,
W-000301,SignatureDrift,High,11.2,csum_partial,,,,,,,,
W-000564,SignatureDrift,High,11.2,f_dupfd,,,,,,,,
W-000567,SignatureDrift,High,11.2,fget,,,,,,,,
W-000720,SignatureDrift,High,11.2,insert_resource,,,,,,,,
W-000732,SignatureDrift,High,11.2,ioread16,,,,,,,,
W-000735,SignatureDrift,High,11.2,ioread32,,,,,,,,
W-000741,SignatureDrift,High,11.2,ioread64be,,,,,,,,
W-000756,SignatureDrift,High,11.2,iowrite16,,,,,,,,
W-000759,SignatureDrift,High,11.2,iowrite32,,,,,,,,
W-000765,SignatureDrift,High,11.2,iowrite64be,,,,,,,,
W-000827,SignatureDrift,High,11.2,led_blink_set,,,,,,,,
W-000994,SignatureDrift,High,11.2,netlink_broadcast,,,,,,,,
W-001140,SignatureDrift,High,11.2,phy_register_fixup,,,,,,,,
W-001178,SignatureDrift,High,11.2,phy_unregister_fixup,,,,,,,,
W-001197,SignatureDrift,High,11.2,pm_generic_freeze,,,,,,,,
W-001200,SignatureDrift,High,11.2,pm_generic_poweroff,,,,,,,,
W-001204,SignatureDrift,High,11.2,pm_generic_restore,,,,,,,,
W-001207,SignatureDrift,High,11.2,pm_generic_resume,,,,,,,,
W-001210,SignatureDrift,High,11.2,pm_generic_suspend,,,,,,,,
W-001213,SignatureDrift,High,11.2,pm_generic_thaw,,,,,,,,
W-001539,SignatureDrift,High,11.2,sg_alloc_table,,,,,,,,
W-001564,SignatureDrift,High,11.2,sgl_free,,,,,,,,
W-001639,SignatureDrift,High,11.2,skb_pull,,,,,,,,
W-001672,SignatureDrift,High,11.2,skb_zerocopy,,,,,,,,
W-001680,SignatureDrift,High,11.2,sock_create,,,,,,,,
W-001743,SignatureDrift,High,11.2,truncate_inode_pages,,,,,,,,
W-001749,SignatureDrift,High,11.2,type_,,,,,,,,
W-001806,SignatureDrift,High,11.2,vm_unmapped_area,,,,,,,,
W-001834,SignatureDrift,High,11.2,vmap,,,,,,,,
W-000012,SignatureDrift,High,11.0,__d_lookup,,,,,,,,
W-000054,SignatureDrift,High,11.0,__mdiobus_modify,,,,,,,,
W-000066,SignatureDrift,High,11.0,__ndelay,,,,,,,,
W-000080,SignatureDrift,High,11.0,__phy_modify_mmd,,,,,,,,
W-000093,SignatureDrift,High,11.0,__pte_alloc,,,,,,,,
W-000095,SignatureDrift,High,11.0,__pte_offset_map,,,,,,,,
W-000117,SignatureDrift,High,11.0,__skb_checksum_complete,,,,,,,,
W-000126,SignatureDrift,High,11.0,__skb_get_hash,,,,,,,,
W-000147,SignatureDrift,High,11.0,__vmalloc_node,,,,,,,,
W-000166,SignatureDrift,High,11.0,active,,,,,,,,
W-000188,SignatureDrift,High,11.0,arch_irq_stat,,,,,,,,
W-000205,SignatureDrift,High,11.0,bpf_flow_dissect,,,,,,,,
W-000206,SignatureDrift,High,11.0,build_skb,,,,,,,,
W-000214,SignatureDrift,High,11.0,bus_register,,,,,,,,
W-000219,SignatureDrift,High,11.0,bus_unregister,,,,,,,,
W-000223,SignatureDrift,High,11.0,calibrate_delay,,,,,,,,
W-000262,SignatureDrift,High,11.0,class_create,,,,,,,,
W-000278,SignatureDrift,High,11.0,cloned,,,,,,,,
W-001927,FieldDrift,High,10.4,task_struct,,,,,,,,
W-001901,FieldDrift,High,10.2,dentry,,,,,,,,
W-001925,FieldDrift,High,10.2,socket,,,,,,,,
W-001896,FieldDrift,High,10.0,anon_vma,,,,,,,,
W-001902,FieldDrift,Medium,9.6,dev_pagemap,,,,,,,,
W-001928,FieldDrift,Medium,9.6,ubuf_info,,,,,,,,
W-001906,FieldDrift,Medium,9.4,kunit_suite,,,,,,,,
W-001907,FieldDrift,Medium,9.4,lruvec,,,,,,,,
W-001894,FieldDrift,Medium,9.2,address_space,,,,,,,,
W-001917,FieldDrift,Medium,9.2,resource,,,,,,,,
W-001910,FieldDrift,Medium,9.0,mem_section_usage,,,,,,,,
W-001912,FieldDrift,Medium,9.0,nsproxy,,,,,,,,
W-001916,FieldDrift,Medium,9.0,ptdesc,,,,,,,,
W-001895,FieldDrift,Medium,8.8,address_space_operations,,,,,,,,
W-001897,FieldDrift,Medium,8.8,bio_vec,,,,,,,,
W-001898,FieldDrift,Medium,8.8,callthunk_sites,,,,,,,,
W-001899,FieldDrift,Medium,8.8,compat_mmsghdr,,,,,,,,
