warning_id,type,risk,score,symbol,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes,label,reviewer_notes
W-000767,SignatureDrift,High,14.6,regulator_get,,,,,,,,
W-000510,SignatureDrift,High,14.0,dev_get_drvdata,,,,,,,,
W-000765,SignatureDrift,High,13.4,regulator_disable,,,,,,,,
W-001213,NullabilityDrift,High,13.2,regulator_get,,,,,,,,
W-000132,SignatureDrift,High,13.0,acpi_enable,,,,,,,,
W-000721,SignatureDrift,High,13.0,platform_set_drvdata,,,,,,,,
W-001212,NullabilityDrift,High,13.0,acpi_match_device,,,,,,,,
W-000117,SignatureDrift,High,12.6,acpi_disable,,,,,,,,
W-000661,SignatureDrift,High,12.6,ktime_get_real,,,,,,,,
W-000885,FieldDrift,High,12.6,acpi_device,,,,,,,,
W-000887,FieldDrift,High,12.6,bpf_link,,,,,,,,
W-000890,FieldDrift,High,12.6,bpf_map,,,,,,,,
W-000898,FieldDrift,High,12.6,drm_file,,,,,,,,
W-000911,FieldDrift,High,12.6,phy_device,,,,,,,,
W-000912,FieldDrift,High,12.6,pid,,,,,,,,
W-000511,SignatureDrift,High,12.4,dev_set_drvdata,,,,,,,,
W-000665,SignatureDrift,High,12.4,link,,,,,,,,
W-000263,SignatureDrift,High,12.2,acpi_match_device,,,,,,,,
W-000648,SignatureDrift,High,12.2,is_of_node,,,,,,,,
W-000768,SignatureDrift,High,12.2,regulator_get_voltage,,,,,,,,
W-000771,SignatureDrift,High,12.2,regulator_set_voltage,,,,,,,,
W-000685,SignatureDrift,High,12.0,might_resched,,,,,,,,
W-000766,SignatureDrift,High,12.0,regulator_enable,,,,,,,,
W-000770,SignatureDrift,High,12.0,regulator_put,,,,,,,,
W-000781,SignatureDrift,High,12.0,resource_size,,,,,,,,
W-000893,FieldDrift,High,12.0,cgroup_subsys,,,,,,,,
W-000414,SignatureDrift,High,11.8,acpi_table_parse,,,,,,,,
W-000512,SignatureDrift,High,11.8,devm_add_action_or_reset,,,,,,,,
W-000517,SignatureDrift,High,11.8,dma_set_mask_and_coherent,,,,,,,,
W-000638,SignatureDrift,High,11.8,ioremap_np,,,,,,,,
W-000657,SignatureDrift,High,11.8,ksys_sync_helper,,,,,,,,
W-000658,SignatureDrift,High,11.8,ktime_get_boottime,,,,,,,,
W-000660,SignatureDrift,High,11.8,ktime_get_clocktai,,,,,,,,
W-000745,SignatureDrift,High,11.8,poll_wait,,,,,,,,
W-000769,SignatureDrift,High,11.8,regulator_is_enabled,,,,,,,,
W-000844,SignatureDrift,High,11.8,valid,,,,,,,,
W-000461,SignatureDrift,High,11.6,autoneg,,,,,,,,
W-000583,SignatureDrift,High,11.6,folio_mapping,,,,,,,,
W-000607,SignatureDrift,High,11.6,fwnode_handle_put,,,,,,,,
W-000663,SignatureDrift,High,11.6,ktime_to_us,,,,,,,,
W-000924,FieldDrift,High,11.6,task_struct,,,,,,,,
W-000553,SignatureDrift,High,11.4,filemap_fdatawrite,,,,,,,,
W-000605,SignatureDrift,High,11.4,fsleep,,,,,,,,
W-000662,SignatureDrift,High,11.4,ktime_to_ms,,,,,,,,
W-000671,SignatureDrift,High,11.4,lru_add_drain,,,,,,,,
W-000773,SignatureDrift,High,11.4,release_region,,,,,,,,
W-000001,SignatureDrift,High,11.2,WARN_ON,,,,,,,,
W-000015,SignatureDrift,High,11.2,__folio_lock,,,,,,,,
W-000103,SignatureDrift,High,11.2,acpi_device_fix_up_power,,,,,,,,
W-000109,SignatureDrift,High,11.2,acpi_device_notify,,,,,,,,
W-000139,SignatureDrift,High,11.2,acpi_enter_sleep_state,,,,,,,,
W-000143,SignatureDrift,High,11.2,acpi_evaluate_dsm,,,,,,,,
W-000196,SignatureDrift,High,11.2,acpi_get_subsystem_id,,,,,,,,
W-000198,SignatureDrift,High,11.2,acpi_get_table,,,,,,,,
W-000201,SignatureDrift,High,11.2,acpi_get_timer,,,,,,,,
W-000356,SignatureDrift,High,11.2,acpi_read,,,,,,,,
W-000407,SignatureDrift,High,11.2,acpi_subsys_suspend,,,,,,,,
W-000440,SignatureDrift,High,11.2,acpi_write,,,,,,,,
W-000558,SignatureDrift,High,11.2,filemap_get_folios,,,,,,,,
W-000620,SignatureDrift,High,11.2,hibernate,,,,,,,,
W-000736,SignatureDrift,High,11.2,pm_suspend,,,,,,,,
W-000772,SignatureDrift,High,11.2,release_mem_region,,,,,,,,
W-001164,SignatureDrift,High,11.2,acpi_evaluate_dsm,,,,,,,,
W-001214,ErrorDrift,High,11.2,regulator_get_voltage,TRUE_WRAPPER_FIX,Later commit 8121353a4bf8 changes Regulator from NonNull to raw pointer and updates the regulator_get_voltage call path.,TRUE_WRAPPER_FIX,Direct wrapper-fix evidence: 8121353a4bf8 fixes Regulator pointer invariants and touches bindings::regulator_get_voltage.,TRUE_WRAPPER_FIX,TRUE_WRAPPER_FIX: 8121353a4bf8 addresses the same Regulator Rust exposure path used by regulator_get_voltage.,,
W-000050,SignatureDrift,High,11.0,acpi_bus_get_status,,,,,,,,
W-000066,SignatureDrift,High,11.0,acpi_create_platform_device,,,,,,,,
W-000073,SignatureDrift,High,11.0,acpi_dev_for_each_child,,,,,,,,
W-000078,SignatureDrift,High,11.0,acpi_dev_get_first_match_dev,,,,,,,,
W-000101,SignatureDrift,High,11.0,acpi_dev_uid_to_integer,,,,,,,,
